headline,link,source,region,published_at
"Hormuz tensions rise as Iran warns Gulf","https://news.google.com/rss/articles/CBMiggFBVV95cUxPQjdtV256Sk5jaTBORGtEVzAwN2Q3dVNMQ0xaZ2NLTTloRFBlNTdmQm9CSmluVnpTTWdiODJBZjFvSzRpQS1vbUlwQnVnbko5bUdNRWQ3SGhfcFNMdEZWN0JPVzJpNXBJYmpfR3YwMGNmMlJjaEtvSG1yUWtLS05DY1J30gGKAUFVX3lxTFB4ZVFiYTNRZEZuVHpPZGs3cUZ3Zm1VSm9MLWpvdFRDU0xrZ1BHUk9BYTNJanFQWmNiWkl2bmlUdVNsQm1iNllnNXpQYU9jYzZsb3FSQmlTcV9ZWFJvMERYSS1HVjZkTmU0UFpHbmRES3RCUm95UzBYTk1uNGJZRkE2R2FscHFBUmVDUQ?oc=5","The Express Tribune","Pakistan","1787185529000"
"Trump threatens ""most crushing"" economic warfare, accuses Iran of failing to make deal","https://news.google.com/rss/articles/CBMifEFVX3lxTE1VdnJ0MVl2QnFtWUpMZFoxSW1YWGRzSWxCbWRfYmtpdVdMMFRfVHktbjVTT3dVd3dSb0MzRGN4TnI0Mk5wU0RqSzVBT3VqZTZUVG1CNC0tTWl0LXJpZXBPTDVTM29Ua2lKUVJqYUVUYWk4R1ZORGtzcVBudUw?oc=5","Xinhua","China","1787184105000"
"Trump vows 'tremendous' economic costs on Iran partners","https://news.google.com/rss/articles/CBMiogFBVV95cUxNZ0hTenA3Y25hbXdNam1NZmtubVZWM1BhTWM3R09nU3Q5VVFhS3VCcW9lOVNVX2dnZTZRT1pqeUNmYzNPbzAzV1ZyZVlhNUxGbGk1VVN6TXZ1OXFJVUkxcW5ERVR5VEdRWlJ1eUNkRUh0QWRobmRMT0Rka1czRDZDclRESlExbVFycVZLT2pfTV9KTzljWFFmczg0WDhTRW9pMEE?oc=5","France 24","Europe","1787186232000"
"Trump threatens 'tremendous economic consequences' on any country helping Iran","https://news.google.com/rss/articles/CBMiWkFVX3lxTE10NXpxUDd6UnRUMjB4X2k3SnljQ0VYNjJCb1VUaUpJTmV3SlFPdWszMDZVWWdzUkduVEpBWk9zSGNseW56M2JWOXEtRjV6WVlxMlVTc0N4bVRKdw?oc=5","BBC","Global","1787185538000"
"Oil prices steady as investors assess US-Iran war outlook","https://news.google.com/rss/articles/CBMiqgFBVV95cUxOM1ZTcG5JRHQxeFFrOEd6Q0s4eWdFZGZwRmUyaFlPQkEwWEFLZ2xtLUJxMDFGRzZEZ1VEMjA5MjlMazgtZkJRM01FRXJ3Yk5wZUJSRW8yUEc5THM4VEZBd3V0LVhiRHBBWExnTElPMTRCX3d1ODhKR2lDdHVDVktTZS1BTUtuLXN2ZGRwUmpnNzhEdDJBZnp3cHExVndUYWlrenVEOXI0dVppdw?oc=5","Reuters","Global","1787188260000"
"Trump announces 'most crushing' Iran sanctions - Al Jazeera","https://news.google.com/rss/articles/CBMiwAFBVV95cUxPcGxRLVMwNTV5WmEycUpHTkhld1VVV1AxOGUyR2lNakZqRGVmYUZhbk1oSURWRGhfaUszSDEyTi1kcERzUG9ReXFoTkVIMHBvUkxoOWdhbGM0NG95U1JkMVEteVU5YXQ1VzRLbWVXT0p0elpYbXFXdnhMdmgyUklCbXAzcU5ySVpyaTBEVlJhTkFCVTFkcWxQd2pIUVJsbEw4ZlB5V2RIVzQ5R25EdGc2bF8tc2UyU01NaVRaUmtCek4?oc=5","Al Jazeera","Arab","1787186796000"
"Iran taps financial lifeline, Russian arms as Trump escalates 'crushing' economic warfare","https://news.google.com/rss/articles/CBMiswFBVV95cUxQQTdxMDQ3WDZoSzJmbXVCSWpNR1B5eVBjTFFjRzFhQ2JsQkRiUE9MQ3pzWkRQMHprbW5EckVYZWRHQkx0OEstMlVyUVd4UGJCS2xfTVNOY0FQVkpKc08xZnk5RldjNW4ySF9OUHpCVFB2Q1hnQWdqQUlzR2U5V1dxdDhFWXFWM2p2UzhPSk56NFVpTEdZR3FMR2JHNm5abmRHbk0xUmpQeEVLYldydnNvRF9KVdIBuAFBVV95cUxQb0o4WFFleGJWeFBKZjBpRUoyandEazM4N1A2NlZIQW1iT2Y4OUxvYnlpQ2thMTVDSHNLeHZZa1Y4R25pNGxHVE9XUlN6TC1fRmh5SnVJUjVET1VhcXNGbVY4QjRNU0Z2Q0ZRbnpDSi1HWlNMaExDdmpLRjg2MGRFQlZwMThrcjJLNGtESk1xeDdOY0g0MFM4UjNVU0ZFeVpYNFVWM0YwY3hSSFc5THRNTUltVGlqOFFJ?oc=5","Fox News","US","1787188150000"
"Trump Threatens Economic Pain for Countries That Help Iran","https://news.google.com/rss/articles/CBMifEFVX3lxTE9aMHBHY1dJV3pyZjZQaXc4OXI4NHNjUnBlR0d5MFhsWVZXeG0zeGVDZUtTQjZ6UnpxODRUWW9sVGdZdzVVWkkzNEg3c1ZxdUprTU8yNlRrZnF0SHNPUFZ1bG9vWlcwQWhjcFV6M28ybC0yUmFqbjhadkx0RUI?oc=5","The New York Times","US","1787187921000"
"President Trump promised ‘tremendous economic consequences’ for any country aiding Iran","https://news.google.com/rss/articles/CBMihgFBVV95cUxOUEhPUHpwOGRNeE8waV9PbHJfQ1Yycl90b3QwVTBHNzNFbFRENVJ3Z3M5cE1SeXpwbUV1Y0owaDJZZVpYVVBxWGRQN241RjFCWEZERWhaY0ZLQ3pHM0thM0lWeXNXSEdfem14MzNUY3RoektqaTdKZmVIRFNOb3hHRVE5Unozdw?oc=5","CNN","US","1787187824000"
"Trump says 'draconian' sanctions for Iran may happen as Strait of Hormuz naval blockade continues","https://news.google.com/rss/articles/CBMiVkFVX3lxTE04UGgxNVlQcXpiOG1OUmpoWnJsTS0tNUZDdUljRkhlZEtsbkdON2pWaVlvZ21tOWNDd0dyTlZnRDVHYkJISFd0WTdEcmFIQmdwMzg3aUpR?oc=5","Fox News","US","1787187147000"
